sampels,sampels_1,BPA_ID,Sample Site,Depth_BIN,Depth_MLD,Depth,Water.mass,Latitude (decimal degrees),Depth (m),T,S,O2,Si,NO3,NO2,PO4,NH4,Chl c3,Chl c2,Chl c1,Chlide a,Phide a,Perid,But-fuco,Fuco,Neo,Pras,Viola,Hex-fuco,Astax,Diadino,Allo,Diato,Zea,Lut,DV chl b,Chl b,DV Chl a,Tot. MV Chl a,carotene mix,Micro,Nano,Pico,T.Pig,PON_nmol.L,POC_nmol.L,d15N,d13C,C:N,NO3.Up,NH4.Up,P.P.,N2_Fix,C_ug.L,N_ug.L,Domint WM Category,Secondary WM Category,Stn_nbr,Depth_m,Longitude,SW,PEW,EQ13W,SAMW,AAIW,UCDW,LCDW,NPDW,AABW,total%,Date sampled (YYYY-MM-DD),Time sampled (hh:mm),Subset,SubsetDepth,Longitude (decimal degrees),GO_SHIPS_CTD_no,Bottom depth,Pressure bottle,number,ID,NCBI_Submission,NCBI Sample Accession,Organism,Tax ID,Sampleme_depth,NCBI BioProject,DayLength,Stratificaiton..Tsurface.Tsample.,NRS_Location_code; Voyage_code,geo_loc (country:subregion),Oxygen (_mol/L) Lab,Chlf: CTD,Salinity [PSU] Lab,Biomass (mg/m3),Microplankotn,noplankton,Picoplankton,d13C,Total CO2 (_mol/kg),Total alkalinity (_mol/kg),"Total Bacteria
 (cells/mL)","Bacteria and Not Phototrophs
 (cells/mL)"
G34369,P15S_0236,34369,236,1,1,SFC,Southern Ocean,-66.33315,5.8,-1.504,34.071,355.4,63.77,28.4,0.22,1.98,0.513,0.041,0.051,0.009,0,0,0,0.025,0.11,0,0,0,0.023,0,0.01,0,0,0,0,0,0,0,0.195,0.01,0.786260613,0.04506654,0.149358615,1.455,715.9204882,6158.435443,1.671954759,27.48113858,8.602122085,125.785019,170.4219132,132.8195571,0.27338,73.90122532,10.02288683,AASW,AAIW,2,5.8,-169.99998,0.242,0,0,0.057,0.485,0.144,0,0,0,0.928,42494,0.486111111,1,1,-169.99998,2,3308,5.8,152,102.100.100/34369,FALSE,,,,,,414,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,345.6,0.5,34.0868,0.1947,0.786260613,0.04506654,0.149358615,-27.48113858,2195.3,2303.6,1.30E+05,1.30E+05
G34370,P15S_0335,34370,335,1,1,SFC,Southern Ocean,-65.6622,20,-1.3,34.064,343.8,63.33,28.03,0.23,1.97,0.636,0.02,0.017,0.004,0,0,0,0.019,0.026,0,0,0,0.023,0,0.004,0.001,0,0,0,0,0,0,0.095,0.002,0.481807472,0.095039699,0.386566664,1.175,564.2499891,5347.891068,1.554802826,27.96880637,9.477875359,124.2212343,190.7044388,179.3335233,8.76E-03,64.17469282,7.899499847,AASW,AAIW,2,20,-170.010233,0.244,0,0,0.066,0.486,0.153,0,0,0,0.949,42494,0.368055556,1,1,-170.010233,2,3308,20.3,332,102.100.100/34549,FALSE,,,,,,414,-0.001,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,345.4,0.68,34.0767,,0.579389237,0.074034533,0.321262875,-27.96880637,2191.2,2304.2,,
G34371,P15S_0436,34371,436,1,1,SFC,Southern Ocean,-64.99732,36.7,-0.357,34.086,334.6,55.48,28.18,0.28,2.02,0.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AASW,AAIW,2,40,-170.010233,0.243,0,0,0.074,0.475,0.164,0,0,0,0.956,42494,0.368055556,1,1,-170.010233,2,3308,40.5,331,102.100.100/34548,FALSE,,,,,,414,-0.013,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,345.8,0.68,34.0875,,0.87539035,0.027397965,0.086361127,,2190,2304,1.40E+05,1.40E+05
G34372,P15S_0535,34372,535,1,1,SFC,Southern Ocean,-64.50473,16.1,-0.15,34.069,333.8,52.71,28.22,0.28,1.99,0.755,0.024,0.025,0.004,0,0,0,0.017,0.042,0,0,0,0.026,0,0.004,0.003,0,0,0,0,0,0,0.11,0.002,0.579389237,0.074034533,0.321262875,1.232,566.8410617,4859.32491,0.436484537,27.55310511,8.572640972,130.4983412,258.2706143,131.8117516,0.0643,58.31189892,7.935774864,AASW,AAIW,3,20,-170.0328,0.069,0,0,0.505,0.412,0,0,0,0,0.986,42495,0.645833333,1,0,-170.0328,3,3317,20.9,153,102.100.100/34370,FALSE,,,,,,418,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,344,0.31,34.0655,,0.882660364,0.037020617,0.070097376,-27.55310511,,,,
G34373,P15S_0636,34373,636,1,1,SFC,Southern Ocean,-63.99315,5.9,0.106,34.091,326.1,51.23,28.92,0.27,2.05,0.68,0.033,0.031,0.004,0,0,0,0.026,0.048,0,0,0,0.036,0,0.006,0.003,0,0,0,0,0,0,0.135,0.002,0.527990547,0.082191525,0.359825867,1.293,1900.712505,12351.42399,1.591367541,26.73228379,6.498312583,120.4554328,234.6818491,157.2396842,0.05588,148.2170878,26.60997506,AASW,AAIW,3,25,-170.0328,0.069,0,0,0.494,0.408,0,0,0,0,0.971,42495,0.145833333,1,0,-170.0328,3,3317,22.8,338,102.100.100/34555,FALSE,,,,,,418,-0.001,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,344.1,0.52,34.0651,,0.736778247,0.089805641,0.149383335,-26.73228379,,,1.40E+05,1.30E+05
G34374,P15S_0836,34374,836,1,1,SFC,Southern Ocean,-63.00423,4.2,0.401,34.078,339.2,46.55,29.58,0.28,2.07,0.642,0.124,0.144,0.018,0,0.044,0,0.06,0.34,0,0,0.002,0.045,0.008,0.022,0.004,0,0,0,0,0.013,0,0.691,0.008,0.823208958,0.079719515,0.098371742,2.526,1652.124517,12011.45405,1.766426615,26.52891047,7.270307973,154.0410409,319.3092642,234.3332873,0.15299,144.1374486,23.12974324,AASW,AAIW,3,75,-170.0328,0.159,0,0,0.301,0.437,0.087,0,0,0,0.984,42495,0.145833333,1,0,-170.0328,3,3317,75.3,337,102.100.100/34554,FALSE,,,,,,418,-0.044,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,343.6,0.52,34.0677,,,,,-26.52891047,2189.7,2298,1.80E+05,1.80E+05
G34375,P15S_0936,34375,936,1,1,SFC,Southern Ocean,-62.4988,5,0.694,34.058,338,42.52,29.43,0.3,2.07,0.678,0.113,0.182,0.017,0,0.031,0,0.051,0.433,0,0,0,0.047,0,0.027,0.002,0,0,0,0,0,0,0.83,0.008,0.87539035,0.027397965,0.086361127,2.731,515.0300865,4238.063213,0.749126327,27.1249366,8.228768229,128.0326792,232.1423872,185.1170213,0.04641,50.85675856,7.210421211,AASW,AAIW,4,36.7,-169.99333,0.129,0,0,0.397,0.388,0.072,0,0,0,0.986,42495,0.672222222,1,0,-169.99333,4,2866,36.7,154,102.100.100/34371,FALSE,,,,,,423,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,335.1,,34.0861,0.0949,0.135215129,0.287917392,0.551495133,-27.1249366,2188.4,2298.9,,
G34376,P15S_1136,34376,1136,1,1,SFC,Southern Ocean,-62.00272,5.5,0.878,34.07,331.5,42.57,29.83,0.26,2.09,0.6785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AASW,AAIW,4,60.9,-170.009767,0.143,0,0,0.359,0.405,0.078,0,0,0,0.985,42495,0.561805556,1,0,-170.009767,4,2866,60.9,467,102.100.100/36921,TRUE,SAMN08219616,marine metagenome,408172,102.100.100/36921_60,PRJ385736,423,-0.005,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,335.2,0.36,34.0864,,0.163847095,0.253939268,0.559122704,,2194.5,2297.3,1.20E+05,1.20E+05
G34377,P15S_1236,34377,1236,1,1,SFC,Southern Ocean,-61.49193,8.1,1.441,34.039,330.4,31.69,29.38,0.26,2.05,0.679,0.025,0.027,0,0,0,0,0.027,0.035,0,0,0,0.023,0,0.005,0,0,0,0,0,0,0,0.118,0.002,0.534466218,0.102077063,0.319709407,1.218,1038.034073,3811.436677,1.428202793,26.60477517,3.671783785,146.047299,270.9913883,172.8468661,0.02275,45.73724013,14.53247702,AASW,AAIW,4,86.1,-170.009767,0.157,0,0,0.319,0.423,0.085,0,0,0,0.984,42495,0.561805556,1,0,-170.009767,4,2866,86.1,466,102.100.100/36920,TRUE,SAMN08219615,marine metagenome,408172,102.100.100/36920_86,PRJ385736,423,-0.015,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,332.2,0.34,34.098,,,,,-26.60477517,2185,2293.2,1.20E+05,1.10E+05
G34378,P15S_1336,34378,1336,1,1,SFC,Southern Ocean,-61.00638,6,1.531,34.002,331.2,27.19,28.82,0.28,2.03,0.628,0.066,0.096,0.011,0,0,0.013,0.032,0.28,0,0,0.001,0.026,0,0.015,0,0,0,0,0,0.006,0,0.54,0.006,0.882660364,0.037020617,0.070097376,2.083,1290.601107,8116.582733,0.955983893,26.39906849,6.288994088,194.3229339,238.9163645,141.5216964,0.24522,97.3989928,18.0684155,AASW,AAIW,5,16.1,-169.99325,0.055,0,0,0.58,0.354,0,0,0,0,0.989,42496,0.028472222,1,0,-169.99325,5,2360,25.4,155,102.100.100/34372,FALSE,,,,,,430,0,IN2016_v03,Pacific Ocean: GOSHIP_P15 S,334.4,0.36,34.0689,0.1101,,,,-26.39906849,2173.2,2289.7,,
