KO,G34369,G34415,G34450,G34481,G34510,G34569,G34647,G34393,G34421,G34458,G34499,G34524,G37547,G34402,G34430,G34473,G34500,G34533,G34621
K00001,22414,15686,13320.5,12261,3091.5,11815.5,12242,23076.5,17469,10926.5,20155.5,25616,16930.5,13381.5,15273.5,18155.5,15248,13401,13355.5
K00002,684,2435,764.5,716,782.5,1102.5,730.5,633,1515,353,1233,1913.5,1447.5,2139,568.5,776,495.5,472.5,791
K00003,17719,17013,19697,17837,1956,11505,10579,20962,20033,17194,19941,19816,19208,13020,20881,23254,12184,12476,13475
K00004,134,607,199,159,120,372,481,694,432,239,296,430,221,434,233,317,177,734,318
K00005,14,1769,5218,3220,24,1094,1352,70,1808,4786,2523,400,4564,1298,5043,3668,20,116,2650
K00006,462,1339,484,533,924,576,350,78,869,158,1018,1035,1021,1525,243,524,294,89,647
K00007,369,185,57,96,31,78,29,144,106,52,38,159,67,35,130,159,388,74,11
K00008,1264,3184,1633,1719,543,2425,2498,5769,3225,1579,2166,2886,1825,2925,2046,2914,1594,4147,1924
K00009,1,220,66,81,4,142,200,69,132,98,229,89,183,175,94,132,12,73,130
K00010,4951.5,5971,5237,5294,1202,5205.5,5650,6237,6221,5836.5,6052,6333.5,5940,5446,4945.5,7921,4587.5,4178.5,4182
K00011,365,468,389,279,296,384,345,356,577,215,598,380,655,592,273,484,305,277,413
K00012,17471,15007,22186,19563,2087,9222,12223,24960,15646,20992,20241,23800,24691,11362,25253,19566,12109,11160,11744
K00013,15644,18670,18237,15568,2064,11914,9569,18113,20561,15952,18222,18923,18468,13285,20870,24041,11638,11188,12602
K00014,9255,8085,11305,8882,1231,5751,6442,13529,8399,11494,8001,11345,9701,6441,11293,8994,7331,7021,5460
K00015,8981,9670,10220,8909,1095,7455,6154,12794,12275,8953,10658,11817,10161,6900,10458,14208,5675,8327,7256
K00016,75,426,242,288,94,412,284,348,608,199,347,224,284,328,227,436,119,305,542
K00018,1421,2553,1474,1036,634,1761,1585,2887,2550,1173,1545,2251,1542,2195,1521,1589,1132,2078,1348
K00019,3483,3167,2686,1784,709,2724,2472,4650,3278,1981,2779,4184,2470,2586,3205,2463,2388,3039,2325
K00020,16907,18958,17532,14835,2590,11693,13854,28440,19165,14223,23309,26320,20410,15397,18148,20176,13830,17063,15902
K00021,1155,889,631,389,458,683,898,1225,975,480,1071,733,953,851,642,496,846,650,1002
K00022,171,325,181,137,216,194,196,217,285,82,456,220,369,362,114,230,174,231,295
K00023,1359,2207,1757,1478,375,1559,1026,1549,2370,1446,2001,1539,1837,2010,1558,2440,980,1251,2318
