KO,34369,34415,34450,34481,34393,34421,34458,34499,34402,34430,34473
K00001,22414,15686,13320.5,12261,23076.5,17469,10926.5,20155.5,13381.5,15273.5,18155.5
K00002,684,2435,764.5,716,633,1515,353,1233,2139,568.5,776
K00003,17719,17013,19697,17837,20962,20033,17194,19941,13020,20881,23254
K00004,134,607,199,159,694,432,239,296,434,233,317
K00005,14,1769,5218,3220,70,1808,4786,2523,1298,5043,3668
K00006,462,1339,484,533,78,869,158,1018,1525,243,524
K00007,369,185,57,96,144,106,52,38,35,130,159
K00008,1264,3184,1633,1719,5769,3225,1579,2166,2925,2046,2914
K00009,1,220,66,81,69,132,98,229,175,94,132
K00010,4951.5,5971,5237,5294,6237,6221,5836.5,6052,5446,4945.5,7921
K00011,365,468,389,279,356,577,215,598,592,273,484
K00012,17471,15007,22186,19563,24960,15646,20992,20241,11362,25253,19566
K00013,15644,18670,18237,15568,18113,20561,15952,18222,13285,20870,24041
K00014,9255,8085,11305,8882,13529,8399,11494,8001,6441,11293,8994
K00015,8981,9670,10220,8909,12794,12275,8953,10658,6900,10458,14208
K00016,75,426,242,288,348,608,199,347,328,227,436
K00018,1421,2553,1474,1036,2887,2550,1173,1545,2195,1521,1589
K00019,3483,3167,2686,1784,4650,3278,1981,2779,2586,3205,2463
K00020,16907,18958,17532,14835,28440,19165,14223,23309,15397,18148,20176
K00021,1155,889,631,389,1225,975,480,1071,851,642,496
K00022,171,325,181,137,217,285,82,456,362,114,230
K00023,1359,2207,1757,1478,1549,2370,1446,2001,2010,1558,2440
K00024,16631,17080,15717,14745,22467,18954,12079,23204,13154,17521,21554
K00025,342,615,322,274,224,516,223,457,326,231,348
K00026,356,1432,236,214,58,798,93,531,1381,151,247
K00027,1144,1999,928,226,3743,1631,742,922,1462,913,417
K00028,93,694,65,44,4,336,14,111,581,47,29
K00029,32196,28087,25401,23646,25678,26216,19729,37302,19407,25854,31070
K00030,140,904,467,446,1052,879,432,505,778,656,876
K00031,24593,30236,27401,24573,32870,28252,21464,37286,21992,27860,31990
K00032,43,71,34,13,72,40,19,29,52,30,38
K00033,4342,7393,8964,7920,3793,9700,7184,8376,5851,9133,13301
K00034,813,1880,1026,723,2310,1847,998,1329,1467,1151,1156
K00035,45,32,17,24,33,21,20,53,24,18,25
K00036,4822.5,8241,9844.5,8786,2959,6845,7962,7628,6459.5,9520.5,10732
K00038,2058,4370,2162,1337,5072,3828,1921,2816,3304,2284,2152
K00039,161,304,106,135,144,201,65,363,290,120,490
K00040,904,869,747,603,553,1063,499,893,663,717,1137
K00041,62,65,110,155,121,146,55,88,98,123,186
K00042,6314,3705,2816,1571,3374,3126,2175,3444,2971,3336,2610
K00043,933,2617,1928,1210,1381,2972,1241,1707,2540,1757,2350
